constituency,ac_number,candidate,party,votes,turnout,reserved,region
Gummidipoondi,1,S.VIJAYAKUMAR,TVK,94320,,GEN,Chennai Metro
Gummidipoondi,1,SUDHAKAR.V,AIADMK,66375,,GEN,Chennai Metro
Gummidipoondi,1,T.J.GOVINDARAJAN,DMK,62492,,GEN,Chennai Metro
Gummidipoondi,1,"R.SRIDAR. B.L.,",NTK,4756,,GEN,Chennai Metro
Gummidipoondi,1,NOTA,NOTA,937,,GEN,Chennai Metro
Gummidipoondi,1,M.JAGADEESAN,Bahujan Samaj Party,697,,GEN,Chennai Metro
Gummidipoondi,1,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,599,,GEN,Chennai Metro
Gummidipoondi,1,G.RANJITH B.SC.L.L.B,IND,503,,GEN,Chennai Metro
Gummidipoondi,1,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,336,,GEN,Chennai Metro
Gummidipoondi,1,D.SUDHAKAR,IND,321,,GEN,Chennai Metro
Gummidipoondi,1,M.KUMARAN,IND,260,,GEN,Chennai Metro
Gummidipoondi,1,D.DINESH,IND,222,,GEN,Chennai Metro
Gummidipoondi,1,V.SUDHAKAR,IND,217,,GEN,Chennai Metro
Gummidipoondi,1,T.GOVINDAN,IND,206,,GEN,Chennai Metro
Gummidipoondi,1,GOPAL.K,IND,177,,GEN,Chennai Metro
Gummidipoondi,1,A.H. SIVA GANESH,IND,104,,GEN,Chennai Metro
Ponneri,2,DR.RAVI.M.S,TVK,110439,,SC,Chennai Metro
Ponneri,2,DURAI CHANDRASEKAR,INC,54671,,SC,Chennai Metro
Ponneri,2,BALARAMAN.P,AIADMK,51468,,SC,Chennai Metro
Ponneri,2,RAJATHI.M,NTK,6676,,SC,Chennai Metro
Ponneri,2,NOTA,NOTA,865,,SC,Chennai Metro
Ponneri,2,SANTHOSHKUMAR.J,Bahujan Samaj Party,615,,SC,Chennai Metro
Ponneri,2,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,371,,SC,Chennai Metro
Ponneri,2,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,366,,SC,Chennai Metro
Ponneri,2,RAJA.S,Vanchit Bahujan Aaghadi,299,,SC,Chennai Metro
Ponneri,2,RAJASEKAR.J,IND,289,,SC,Chennai Metro
